seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	distanceToTES	feature	min_dist	min_region	feature2
Chr1	3125	3125	1	*	all_cutsites_peak_1	.	.	Distal Intergenic	1	3631	5899	2269	1	AT1G01010	-506	-2774	Distal Intergenic	-506	TSS	Intergenic
Chr1	6647	6647	1	*	all_cutsites_peak_2	.	.	Distal Intergenic	1	6788	9130	2343	2	AT1G01020	2483	141	Distal Intergenic	141	TES	TES
Chr1	8744	8744	1	*	all_cutsites_peak_3	.	.	Promoter	1	6788	9130	2343	2	AT1G01020	386	-1956	Promoter	386	TSS	TSS
Chr1	9597	9597	1	*	all_cutsites_peak_4	.	.	Promoter	1	6788	9130	2343	2	AT1G01020	-467	-2809	Promoter	-467	TSS	TSS
Chr1	13712	13712	1	*	all_cutsites_peak_5	.	.	Promoter	1	11649	13714	2066	2	AT1G01030	2	-2063	Promoter	2	TSS	TSS
Chr1	14229	14229	1	*	all_cutsites_peak_6	.	.	Distal Intergenic	1	11649	13714	2066	2	AT1G01030	-515	-2580	Distal Intergenic	-515	TSS	Intergenic
Chr1	14843	14843	1	*	all_cutsites_peak_7	.	.	Distal Intergenic	1	11649	13714	2066	2	AT1G01030	-1129	-3194	Distal Intergenic	-1129	TSS	Intergenic
Chr1	15963	15963	1	*	all_cutsites_peak_8	.	.	Distal Intergenic	1	11649	13714	2066	2	AT1G01030	-2249	-4314	Distal Intergenic	-2249	TSS	Intergenic
Chr1	16728	16728	1	*	all_cutsites_peak_9	.	.	Distal Intergenic	1	11649	13714	2066	2	AT1G01030	-3014	-5079	Distal Intergenic	-3014	TSS	Intergenic
Chr1	21062	21062	1	*	all_cutsites_peak_10	.	.	Distal Intergenic	1	23121	31227	8107	1	AT1G01040	-2059	-10165	Distal Intergenic	-2059	TSS	Intergenic
Chr1	22353	22353	1	*	all_cutsites_peak_11	.	.	Distal Intergenic	1	23121	31227	8107	1	AT1G01040	-768	-8874	Distal Intergenic	-768	TSS	Intergenic
